ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"146.59.155.82","elite","AS16276","FR","OVH SAS","20","OVH","16276","socks5","1","100","9754","9756","2025-05-23T19:53:18.054Z","4070"
"185.5.246.222","elite","AS15605","IT","Connesi s.p.a.","29","Cristaltec SPA","4153","socks5","1","99","9654","9708","2025-05-23T19:53:18.128Z","4284"
"185.95.0.197","elite","AS201520","TR","Dedicated-Telekom","60","Dedicated Telekomunikasyon Teknoloji Hiz. Tic. San. LTD. STI","28202","socks4","1","95","1088","1150","2025-05-23T19:53:18.127Z","5005"
"36.67.147.221","elite","AS7713","ID","PT. Telekomunikasi Indonesia","193","N/A","4153","socks4","1","94","2748","2913","2025-05-23T19:53:17.948Z","3715"
"72.194.234.87","elite","AS22773","US","Cox Communications Inc.","149","Cox Communications Inc.","5678","socks4","1","79","7692","9717","2025-05-23T19:53:17.955Z","4296"
"197.234.13.36","elite","AS36902","SC","Intelvision","122","Intelvision Ltd","36902","socks4","1","99","9606","9705","2025-05-23T19:53:17.959Z","4096"
"94.74.172.135","elite","AS44208","IR","Farahoosh Dena PLC","129","N/A","80","socks4","1","81","2406","2963","2025-05-23T19:53:17.956Z","2324"
"222.165.234.147","elite","AS24207","ID","PT NettoCyber Indonesia","167","N/A","52667","socks4","1","97","3015","3094","2025-05-23T19:53:17.955Z","4711"
"162.214.102.121","elite","AS46606","US","Unified Layer","142","Unified Layer","19027","socks4","1","91","2466","2718","2025-05-23T19:53:17.961Z","4672"
"196.216.67.2","elite","AS30844","KE","Liquid Telecommunications Ltd","143","LTK KE SME","5678","socks5","61","91","8951","9800","2025-05-23T19:53:17.957Z","2810"
"134.122.55.214","elite","AS14061","NL","DigitalOcean, LLC","18","DigitalOcean, LLC","1414","socks5","1","70","2104","3013","2025-05-23T19:53:17.948Z","4389"
"186.251.255.73","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","208","Seanet Telecom Carazinho Eireli","31337","socks4","1","100","9787","9821","2025-05-23T19:53:17.958Z","1720"
"185.162.229.127","elite","AS209242","GB","Cloudflare London, LLC","7","Softconstruct Limited","80","socks5","1","100","9719","9720","2025-05-23T19:53:17.957Z","5289"
"159.112.235.140","elite","AS209242","US","Cloudflare London, LLC","4","Confluence Technologies","80","socks4","1","100","730","730","2025-05-23T19:53:17.958Z","4712"
"45.116.114.37","elite","AS58898","IN","Rainbow communications India Pvt Ltd","172","Rainbow Communications India Pvt Ltd","5678","socks4","1","81","2511","3093","2025-05-23T19:53:14.251Z","4672"
"159.69.43.215","elite","AS24940","DE","Hetzner Online GmbH","11","Hetzner","22139","socks5","1","100","9718","9724","2025-05-23T19:53:14.328Z","5003"
"160.25.48.33","transparent","AS153064","ID","PT Shs Solusindo Network","194","PT Shs Solusindo Network","9090","http","5499","100","42","42","2025-05-23T19:53:14.257Z","4589"
"103.234.27.113","elite","AS38200","BD","BTS Communications (BD) Ltd","287","Btscombd","9990","socks4","1","99","2094","2122","2025-05-23T19:53:14.256Z","38"
"144.91.107.252","elite","AS51167","FR","Contabo GmbH","7","Contabo GmbH","18940","socks4","1","99","9632","9751","2025-05-23T19:53:14.328Z","3222"
"163.172.64.203","elite","AS12876","FR","Online S.A.S.","8","ONLINE","49132","socks4","1","100","473","473","2025-05-23T19:53:14.247Z","1980"
"51.75.242.182","elite","AS16276","FR","OVH SAS","15","OVH","80","socks4","1","100","2554","2554","2025-05-23T19:53:14.253Z","3413"
"27.65.29.244","elite","AS7552","VN","Viettel Group","334","VIETTEL","1080","socks4","1","82","705","864","2025-05-23T19:53:14.250Z","4421"
"162.144.32.209","elite","AS46606","US","Unified Layer","134","Unified Layer","28687","socks4","1","99","1675","1699","2025-05-23T19:53:14.255Z","4919"
"94.236.153.96","elite","AS8866","BG","Vivacom Bulgaria EAD","44","Bulgarian Telecommunications Company Plc.","4145","socks4","1","22","2195","9811","2025-05-23T19:53:14.250Z","572"
"54.38.78.108","elite","AS16276","GB","OVH SAS","16","OVH Ltd","3128","socks4","1","77","1530","1996","2025-05-23T19:53:09.140Z","4014"
"185.205.249.24","elite","AS57389","HU","ZNET Telekom Zrt","29","Znettelekom","45264","socks4","1","100","9795","9802","2025-05-23T19:53:08.944Z","3391"
"108.181.133.58","elite","AS40676","US","Psychz Networks","84","TELUS Communications Inc.","24230","socks4","1","57","1065","1866","2025-05-23T19:53:08.946Z","3289"
"72.167.54.228","elite","AS26496","US","GoDaddy.com, LLC","141","GoDaddy.com, LLC","6733","socks4","1","100","1552","1554","2025-05-23T19:53:08.947Z","4585"
"89.35.237.187","elite","AS51095","SA","EdgeUno, Inc.","81","EdgeUno, Inc","4444","socks4","1","100","1226","1229","2025-05-23T19:53:08.941Z","4790"
"104.207.45.173","elite","AS200373","US","3xK Tech GmbH","135","3xK Tech GmbH","3128","socks4","1","98","1997","2046","2025-05-23T19:53:08.949Z","4417"
"69.63.69.90","elite","AS19711","SZ","Swaziland Posts & Telecommunications Corp.","188","Eswatini PTC - corporate","8080","socks4","1","100","2963","2976","2025-05-23T19:53:08.946Z","4899"
"49.75.17.108","elite","AS4134","CN","Chinanet","268","Chinanet JS","44844","socks5","1","58","5620","9745","2025-05-23T19:53:08.944Z","4590"
"95.154.20.113","elite","AS39642","DK","SYD ENERGI","19","Syd Energi Bredbaand","34248","http","5317","100","146","146","2025-05-23T19:53:08.954Z","4500"
"154.202.104.159","elite","AS203020","IN","Hostroyale Technologies Private Limited","145","Hostroyale Technologies Private Limited","3128","socks4","1","98","144","147","2025-05-23T19:53:08.948Z","2705"
"1.1.1.40","elite","AS13335","AU","Cloudflare, Inc","7","APNIC and Cloudflare DNS Resolver project","80","socks4","1","100","671","671","2025-05-23T19:53:08.951Z","4502"
"190.144.224.182","elite","AS14080","CO","Telmex Colombia S.A.","139","Telmex Colombia S.A.","44550","socks4","1","96","2867","2993","2025-05-23T19:53:08.943Z","3796"
"178.62.223.189","elite","AS14061","NL","DigitalOcean, LLC","19","Digital Ocean","34103","socks4","1","96","9408","9759","2025-05-23T19:53:08.941Z","4201"
"103.118.175.167","elite","AS211407","ID","PT Perwira Media Solusi","190","PT Pedjoeang Digital Networks","8090","socks4","1","68","1392","2056","2025-05-23T19:53:03.659Z","2180"
